page,index,filename,width,height
1,1,page_001_img_1.png,1624,1295
3,1,page_003_img_1.png,787,205
13,1,page_013_img_1.png,34,32
13,2,page_013_img_2.png,503,359
13,3,page_013_img_3.png,637,285
14,1,page_014_img_1.png,14,14
14,2,page_014_img_2.png,295,100
14,3,page_014_img_3.png,416,101
15,1,page_015_img_1.png,702,259
16,1,page_016_img_1.png,207,15
16,2,page_016_img_2.png,13,11
16,3,page_016_img_3.png,25,11
16,4,page_016_img_4.png,11,10
16,5,page_016_img_5.png,11,12
16,6,page_016_img_6.png,28,9
16,7,page_016_img_7.png,26,11
17,1,page_017_img_1.png,626,331
18,1,page_018_img_1.png,14,18
18,2,page_018_img_2.png,527,227
18,3,page_018_img_3.png,638,285
19,1,page_019_img_1.png,550,178
19,2,page_019_img_2.png,86,16
19,3,page_019_img_3.png,18,14
19,4,page_019_img_4.png,16,14
19,5,page_019_img_5.png,15,14
19,6,page_019_img_6.png,13,13
19,7,page_019_img_7.png,14,11
21,1,page_021_img_1.png,550,178
22,1,page_022_img_1.png,734,238
22,2,page_022_img_2.png,15,12
22,3,page_022_img_3.png,14,15
23,1,page_023_img_1.png,548,201
23,2,page_023_img_2.png,567,184
24,1,page_024_img_1.png,734,238
24,2,page_024_img_2.png,560,182
25,1,page_025_img_1.png,22,22
25,2,page_025_img_2.png,223,149
25,3,page_025_img_3.png,558,179
25,4,page_025_img_4.png,25,20
26,1,page_026_img_1.png,526,178
26,2,page_026_img_2.png,560,183
28,1,page_028_img_1.png,561,182
28,2,page_028_img_2.png,296,240
30,1,page_030_img_1.png,468,152
31,1,page_031_img_1.png,308,20
31,2,page_031_img_2.png,386,24
31,3,page_031_img_3.png,637,285
32,1,page_032_img_1.png,295,244
32,2,page_032_img_2.png,340,221
33,1,page_033_img_1.png,341,221
33,2,page_033_img_2.png,467,151
34,1,page_034_img_1.png,295,244
34,2,page_034_img_2.png,340,221
35,1,page_035_img_1.png,213,97
35,2,page_035_img_2.png,308,200
36,1,page_036_img_1.png,467,151
36,2,page_036_img_2.png,608,292
37,1,page_037_img_1.png,467,151
37,2,page_037_img_2.png,520,54
37,3,page_037_img_3.png,520,58
38,1,page_038_img_1.png,582,173
39,1,page_039_img_1.png,467,151
40,1,page_040_img_1.png,467,151
41,1,page_041_img_1.png,340,221
41,2,page_041_img_2.png,467,151
42,1,page_042_img_1.png,340,221
42,2,page_042_img_2.png,341,222
42,3,page_042_img_3.png,342,223
43,1,page_043_img_1.png,340,221
43,2,page_043_img_2.png,337,218
44,1,page_044_img_1.png,340,221
44,2,page_044_img_2.png,341,222
45,1,page_045_img_1.png,340,221
46,1,page_046_img_1.png,248,375
46,2,page_046_img_2.png,309,319
48,1,page_048_img_1.png,248,375
48,2,page_048_img_2.png,336,375
50,1,page_050_img_1.png,550,178
51,1,page_051_img_1.png,15,16
51,2,page_051_img_2.png,539,207
51,3,page_051_img_3.png,550,178
52,1,page_052_img_1.png,550,178
52,2,page_052_img_2.png,550,178
53,1,page_053_img_1.png,1008,651
54,1,page_054_img_1.png,550,178
54,2,page_054_img_2.png,550,178
55,1,page_055_img_1.png,550,178
55,2,page_055_img_2.png,584,240
56,1,page_056_img_1.png,631,309
56,2,page_056_img_2.png,550,178
57,1,page_057_img_1.png,495,161
58,1,page_058_img_1.png,495,161
59,1,page_059_img_1.png,550,179
60,1,page_060_img_1.png,550,179
60,2,page_060_img_2.png,550,179
61,1,page_061_img_1.png,560,207
62,1,page_062_img_1.png,550,216
63,1,page_063_img_1.png,447,271
63,2,page_063_img_2.png,448,259
64,1,page_064_img_1.png,551,180
64,2,page_064_img_2.png,550,178
65,1,page_065_img_1.png,499,161
66,1,page_066_img_1.png,550,179
67,1,page_067_img_1.png,28,9
67,2,page_067_img_2.png,26,11
67,3,page_067_img_3.png,550,179
68,1,page_068_img_1.png,626,272
68,2,page_068_img_2.png,637,285
69,1,page_069_img_1.png,28,9
69,2,page_069_img_2.png,26,11
